cohort,endpoint,n,events,clinical_c_index,clinical_plus_risk_c_index,apparent_delta_c_index,likelihood_ratio_chisq,likelihood_ratio_p
GSE39582 (training),OS,572,190,0.59571841418591,0.696192587188912,0.100474173003002,75.8613006090318,3.04305901699832e-18
TCGA-COAD,OS,270,65,0.601204819277108,0.6039430449069,0.00273822562979187,0.511219873194591,0.474611258624877
GSE14333,DFS,226,50,0.542627345844504,0.649329758713137,0.106702412868633,13.1758274559258,0.000283583481594064
GSE17536,OS,177,73,0.569444444444445,0.581037649219467,0.011593204775023,2.94667396929356,0.0860544974877546
GSE17537,OS,55,20,0.59,0.654,0.0640000000000001,2.22617404712319,0.135689477731349
