SYMBOL,PROBEID,training_probe_mean,training_probe_mean_hex,n_probes_gene,map_hash,training_sample_hash,training_n,analysis_key
AAMP,201511_at,8.31329796712915,hex:0x1.0a06897557228p+3,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AANAT,207225_at,3.22150242853927,hex:0x1.9c5a310b47c5fp+1,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AAR2,218089_at,8.10304059746248,hex:0x1.034c1bcb885f6p+3,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AARS1,201000_at,8.91209771973822,hex:0x1.1d2fe78ea104cp+3,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AARS2,231845_at,6.48544919475742,hex:0x1.9f11997fd691bp+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AASDH,228041_at,6.28023968124956,hex:0x1.91ef726a8088ap+2,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AASDHPPT,202169_s_at,8.06760739515707,hex:0x1.0229d6fbe55bp+3,3,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AASS,210852_s_at,3.75204028249738,hex:0x1.e042db214ce8ep+1,2,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AATBC,1563088_a_at,4.05733514915358,hex:0x1.03ab610ba1a85p+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AATF,209165_at,8.70338201038569,hex:0x1.16821afd6670dp+3,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
AATK,205986_at,6.60478783831239,hex:0x1.a6b4d80ca47f1p+2,1,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABAT,209460_at,7.02694650390751,hex:0x1.c1b97dd4418dap+2,3,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ABCA1,203505_at,7.16393879720419,hex:0x1.ca7df92722678p+2,4,07498f0a9537a0529b8a35c5f61cf6e21cfffa8de300b3eae0f22dea7c458a53,bdef59e3884cdfb47b39c178f4c6ce229f40636b127f9ed19d9a84de360fbfe7,573,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
