gene,selected_folds,frequency,positive_folds,negative_folds,zero_folds,modal_sign,sign_consistency,coefficient_mean,coefficient_sd,coefficient_median,coefficient_min,coefficient_max,analysis_key
SNRNP35,3,0.06,0,3,0,negative,1,-0.249939250664268,0.0499249834847183,-0.239746430732228,-0.304174075260028,-0.20589724600055,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
YJU2,3,0.06,0,3,0,negative,1,-0.19241580437538,0.0370185388381008,-0.210222606539214,-0.217165940480979,-0.149858866105947,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ZNF117,3,0.06,3,0,0,positive,1,0.266561726578887,0.0391692846001533,0.265306954982315,0.228034904209108,0.306343320545237,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ALPL,2,0.04,2,0,0,positive,1,0.177187852716947,0.00629702126585178,0.177187852716947,0.172735186278588,0.181640519155307,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
ASL,2,0.04,0,2,0,negative,1,-0.169710194104658,0.0439285528287771,-0.169710194104658,-0.200772371697598,-0.138648016511719,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CCL22,2,0.04,0,2,0,negative,1,-0.379415915899757,0.117771738356985,-0.379415915899757,-0.462693110724109,-0.296138721075405,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CD36,2,0.04,2,0,0,positive,1,0.270426739314281,0.0745367430819881,0.270426739314281,0.217721302833448,0.323132175795115,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
CRYM,2,0.04,0,2,0,negative,1,-0.249509230366575,0.0261741122511451,-0.249509230366575,-0.268017122630898,-0.231001338102253,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
DNPEP,2,0.04,0,2,0,negative,1,-0.145126294272281,0.0685273500218451,-0.145126294272281,-0.193582448169471,-0.0966701403750898,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
FOXA2,2,0.04,0,2,0,negative,1,-0.168126135687518,0.0754456748566669,-0.168126135687518,-0.221474283989863,-0.114777987385174,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
HACL1,2,0.04,0,2,0,negative,1,-0.227959084307151,0.0618324482567576,-0.227959084307151,-0.271681227766871,-0.184236940847431,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
HACL2,2,0.04,0,2,0,negative,1,-0.189708514526028,0.0281334604641402,-0.189708514526028,-0.209601875198465,-0.169815153853591,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
NPR3,2,0.04,2,0,0,positive,1,0.0921860768260721,0.114950248998897,0.0921860768260721,0.0109039762598698,0.173468177392274,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
OGDHL,2,0.04,0,2,0,negative,1,-0.472382162162805,0.047383912659776,-0.472382162162805,-0.505887648123683,-0.438876676201926,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
PAEP,2,0.04,2,0,0,positive,1,0.124956869616096,0.0357626086034309,0.124956869616096,0.0996688865596893,0.150244852672502,b0e967f58f2d4188de47bdf555bcafbb4ac76f1b92b69383cc77a5a49ddb3144
