inner_fold,lambda_ratio,c_index,n_train,events_train,n_valid,events_valid,n_genes,model_fingerprint
1,0.562341325190349,0.514120449132358,458,152,115,38,5,cbac2835fc93aa906974af06197b4d4f62ffb41b4f9c179bec39b72726070dfc
1,0.431933279405154,0.610411704661449,458,152,115,38,7,466c51561a73ea02477c22a712bade76a57ea274673ab728b1170e8e8b3955ae
1,0.331767112784286,0.60871044572984,458,152,115,38,9,f7cb8634f145d6e082d5c2f1e46945e9f25ad34bb1b2ac52a5367951a57c30f5
1,0.254829674797935,0.60871044572984,458,152,115,38,9,0f1fa44c6942ba210a4747d91fe0bb80128a459f94a80e2eccb8f73f3db176da
1,0.195734178148766,0.601565158217081,458,152,115,38,10,b7a5ebceb4c7bdfa437bd2a350f1db1c28172055a42878c486e603e91cbcb4cf
1,0.150343041978733,0.571963252807077,458,152,115,38,13,15cdd359fea9e2a1c70093d55ab7024bd474b783f87c7c2087ca23c52947f958
1,0.115478198468946,0.562436202790065,458,152,115,38,16,409c584abaef9397a85994b83e08d188be8535cee16dd7806acc6aaadd54ba68
1,0.0886985799018192,0.562436202790065,458,152,115,38,16,f92d5988fefa20302ea4a0ef4b8a5a46aaaee4ce9d1d87e090fb04dd51341ac2
1,0.0681292069057962,0.561075195644777,458,152,115,38,19,13b13fd8bdfaedb949ca8a9671a49895e6631f99e9f335ebd96c78290fb1d0dc
1,0.0523299114681495,0.55256890098673,458,152,115,38,24,1af65cf30c54d26b6aa2b99a175a52ba065b9e4f6df80cf33cd8c0e71d44cd7d
1,0.0401945033361513,0.555631167063627,458,152,115,38,27,e4c56ef3e443e0e8102ed34b7c4c2878b0ecf4aa8eba419c0b1a6538ab2ca73d
1,0.0308733199257026,0.560734943858455,458,152,115,38,30,43ea82268866450661e7a43aec8497c51ce3e4c84560cd5945fd2987d2cad357
1,0.0237137370566166,0.560734943858455,458,152,115,38,30,3d72a5a2dc8361443af1d533e7bd57ee76249640c2773697f13b2b591edb8f26
1,0.0182144753639595,0.560734943858455,458,152,115,38,30,a139bce6484fa3f07394883919845db624f989633c7ea0061cddc29f8261ad23
1,0.0139905031413729,0.560734943858455,458,152,115,38,30,f04cc8d556703f6744f48de9e7399936619cfbf67f6dfe8a81e25241e13ecf5b
1,0.0107460782832132,0.560734943858455,458,152,115,38,30,5e8e2ca77e5004c6f0ff26df867f3bf415df6e09bcb0095326f6573179ad54be
1,0.00825404185268019,0.572303504593399,458,152,115,38,30,080807e0e1215a87522308f60f15066891be88ab6c75bb30fa1b6406d6d888fe
1,0.00633991351172485,0.572303504593399,458,152,115,38,30,43f6cd7414d2fb06c00b90daa36adf58ccca965f522a7e0a9c6285a900cb6c36
1,0.00486967525165863,0.572303504593399,458,152,115,38,30,07e561cfcf7fe3dd1cf7a7502013ddfa43f27b4be9834f542fde17ccb1a15aba
1,0.00374038810036779,0.572303504593399,458,152,115,38,30,b85946de2881f93cc484e6974f2e5663d5fae1b4f0507428d4f67a59b395a0e7
1,0.00287298483335367,0.572303504593399,458,152,115,38,30,6b0116bc48911806236958d6bf2f492b56ffb2a99e13a767e40d6e9aadb47f5e
1,0.00220673406908459,0.572303504593399,458,152,115,38,30,d295d2ed255bf887ea8a748319ce9754f02562aa66e5d622ca548cab79407714
1,0.00169498815139035,0.572303504593399,458,152,115,38,30,3278e60f5abe569284668d188ad5af58917c8d2c7a2f1747786467b6f521ad9e
1,0.00130191710619008,0.572303504593399,458,152,115,38,30,38a54ce182eb33b1673dee1a6abf0cf2492b9da94a5f6db4e7535167a05c7fca
1,0.001,0.572303504593399,458,152,115,38,30,1eead88f78babee32a97b7ab7c3698c746e68beed58895b4762d459febda14b8
2,0.562341325190349,0.616874589625739,458,152,115,38,8,e02ded744885cfef5411ac56318749111bd60452e470bd0e9b6ebe04532a5d28
2,0.431933279405154,0.615889691398555,458,152,115,38,8,105c85a210babc813c077474553d6afae99fb1f2fdd297aa2b8948e049f2a964
2,0.331767112784286,0.614904793171372,458,152,115,38,9,0e0d036916269f8750ce845cf21d7681b7b50be703b08868bfbbed3a89211616
2,0.254829674797935,0.614904793171372,458,152,115,38,9,c94362cb95aa73b388aef9cb2b41002c5438033320dee821f23109a9af5ddfc9
2,0.195734178148766,0.614904793171372,458,152,115,38,9,9c993094ec4367d5f59124412bd9f6adfdd344a762ebad61fc48c3094d7e8564
2,0.150343041978733,0.614904793171372,458,152,115,38,9,63a199c04fe32dced9651d0762af53526f29b84d63ba41f3f608f29f3281399d
2,0.115478198468946,0.614904793171372,458,152,115,38,9,1102e8813cf474ab3d13dbfe16e61aea42db0802c0e0a96ab7362fc382c7fc88
2,0.0886985799018192,0.614904793171372,458,152,115,38,9,c2e4822d68281bd4c81bb9781ac241d6aa43f0ee8be69bf58877b8d44e1967ba
2,0.0681292069057962,0.611621799080762,458,152,115,38,10,f732ef05ce3acb7843815ad41b11e8c8f59363070c53acb7c10f6af1f5199838
2,0.0523299114681495,0.620814182534471,458,152,115,38,12,e51f30564a35019b43960ed5a502c781a084596821995f1239fd053aed11c5c8
2,0.0401945033361513,0.620814182534471,458,152,115,38,12,83918272cc1a1bfc824bbfa221ff13de213ff1305d73af7a13b7d3f7738bbd3c
2,0.0308733199257026,0.621142481943533,458,152,115,38,13,f55dfac8337711c71408d34a4c2f560f68c010eba1894f9b2530e6b634d8b165
2,0.0237137370566166,0.621142481943533,458,152,115,38,13,42ef8a2fc0be97ae234fe796a93867f733938d72e159856e43bcc7f652ef6345
2,0.0182144753639595,0.621142481943533,458,152,115,38,13,9e7e8024e47abb4ed5a4d8ad39ba2e336675e9fdd1ece6d0e7c0064b176face7
2,0.0139905031413729,0.621142481943533,458,152,115,38,13,29d584208499431465603d3c7b1a844e05680f3c03627b1651593322f231e5aa
2,0.0107460782832132,0.621142481943533,458,152,115,38,13,78f9b76c9ef1e3ae97e2d858c05e47318822b19696b2ef4746b84bb3b4540088
2,0.00825404185268019,0.621142481943533,458,152,115,38,13,361b2dd1cf9dd0df79f2809c895961f7c50476ae741db3f0c53efc0693b74352
2,0.00633991351172485,0.621142481943533,458,152,115,38,13,06a23979f650032d64d1591a28f445cc58a6fcfa753e4d592abe824f64b19b9e
2,0.00486967525165863,0.621142481943533,458,152,115,38,13,e431b0dcb25c87f8b4c40c44423ff36b6e38aeef5787698a32b9d4f87847f439
2,0.00374038810036779,0.621142481943533,458,152,115,38,13,1266734bd10176d09a6efeb36ce08835890421d0fdd16e71def8219059c71838
2,0.00287298483335367,0.621142481943533,458,152,115,38,13,3f1917c18c3efbf0e61e8aa0c879356539838f9ca4347b647fd4d064777fc277
2,0.00220673406908459,0.621142481943533,458,152,115,38,13,225f286f92063b2fd5e7edc2c03adeb207271eea9485d625de0de8cb1f021cfd
2,0.00169498815139035,0.621142481943533,458,152,115,38,13,9ec5f3e0bbd35b0d4a7091c810cbabd13b45e45c1aad0cdbd00df8590a21a681
2,0.00130191710619008,0.621142481943533,458,152,115,38,13,425a327c36a65fb67069049b4985856686315162313dfe756576071e9db6b0ca
2,0.001,0.621142481943533,458,152,115,38,13,af5df954a70574d4d8c85ad3406c02efcfc451ac3432d12e4f211841943f5db2
3,0.562341325190349,0.531590413943355,458,152,115,38,8,71a0f2e8dc84163f914eec1c8dd3a4b53df07afa8c0b68396a909b2cd032f120
3,0.431933279405154,0.543572984749455,458,152,115,38,6,9e6029080f1f1e665271acbed99b3e6b2fef86eb772ef0ef789f45bded56a8e1
3,0.331767112784286,0.543572984749455,458,152,115,38,6,4cde42b9fa62e2a616f1dbf868dbb585cf7684946ea1fd4fe0c2c39ffbcb518d
3,0.254829674797935,0.543572984749455,458,152,115,38,6,8441b2501b9d20d21a290560d2b10f0bc41d527071239938d816766312394a88
3,0.195734178148766,0.53122730573711,458,152,115,38,7,9a5d89d9ef4f503204d13a128a493a12c5c521dbe6794d48003a29687e8e3cee
3,0.150343041978733,0.53122730573711,458,152,115,38,7,c76a00c05b113bbb9b6c3e5687db6c200a8078cb9b391460a09cd42e062ed2c8
3,0.115478198468946,0.53522149600581,458,152,115,38,8,fa9e30bd0783096afa0731e720388432cf974f32c3d65d66f085e936371a713e
3,0.0886985799018192,0.534132171387073,458,152,115,38,10,8e25247153b6ed139b25e468a9d3d754b6a474fa489ae873eadf70cfc6cc1813
3,0.0681292069057962,0.546840958605665,458,152,115,38,12,2093c85d0f0b5ef1473d565468d880f40eed0613cd0eaba210dd7e473f6f7d34
3,0.0523299114681495,0.539578794480755,458,152,115,38,23,e083a361ea1abf5895762e346f96b72adcb476a8c3e2b994ae26605fb0fd93a2
3,0.0401945033361513,0.530864197530864,458,152,115,38,28,eab449ad8dd7d1944654df63c40ab2418aafe4618e64120879c4845bdd9ec8d1
3,0.0308733199257026,0.539941902687001,458,152,115,38,30,a1e32a6fa92b8f3e101f322257b09565d7392133375a8ae4e1fc9bbf99888bdf
3,0.0237137370566166,0.539941902687001,458,152,115,38,30,ff2f1e070c56d6383b399099f60ae4bb1e03252186fa4ec0f9e9678399fed8e3
3,0.0182144753639595,0.551924473493101,458,152,115,38,30,02bf169517f42778bc94205fcadcf3f7a6a27daec83aee7607fb08add48bb2b1
3,0.0139905031413729,0.551924473493101,458,152,115,38,30,f13805866322107fe03703ddb4a8209cf7c5b1df0e93379909c2251788e69a33
3,0.0107460782832132,0.551924473493101,458,152,115,38,30,ec101170d8cfabc18381c8b4795042887d6991dad9a01692721efa7e2302d41b
3,0.00825404185268019,0.542120551924474,458,152,115,38,30,30f9ed5f9a0806de305cfa86634748fb4581562a973ad0fab35df30002948a38
3,0.00633991351172485,0.542120551924474,458,152,115,38,30,f05b532a0bd121dab942c7936e48db99b6c30d1a3ae9f559660676cc154bbc25
3,0.00486967525165863,0.542120551924474,458,152,115,38,30,04c0de4545b0d6b7ae81ddd7fcc01271c72ddc2c448781ffc37037ed31e7411b
