lambda_ratio,mean_c_index,sd_c_index,se_c_index,min_c_index,max_c_index,inner_folds,best_mean,one_se_eligible,selected,one_se_threshold
0.562341325190349,0.597311758951248,0.0881151261191642,0.0394062823696837,0.514120449132358,0.736379613356766,5,FALSE,TRUE,TRUE,0.583437232191253
0.431933279405154,0.619981755090591,0.0817160374082159,0.0365445228993373,0.543572984749455,0.756414762741652,5,TRUE,TRUE,FALSE,0.583437232191253
0.331767112784286,0.614804804853911,0.0721605726300907,0.0322711891392387,0.543572984749455,0.733216168717047,5,FALSE,TRUE,FALSE,0.583437232191253
0.254829674797935,0.612555244221222,0.0675760090637167,0.0302209099829225,0.543572984749455,0.721968365553603,5,FALSE,TRUE,FALSE,0.583437232191253
0.195734178148766,0.603097050772441,0.0596353549927996,0.0266697415252463,0.53122730573711,0.693145869947276,5,FALSE,TRUE,FALSE,0.583437232191253
0.150343041978733,0.602170014788155,0.0714247655260543,0.0319421261986482,0.53122730573711,0.718453427065026,5,FALSE,TRUE,FALSE,0.583437232191253
0.115478198468946,0.603500442897195,0.0747510084928363,0.0334296672753292,0.53522149600581,0.72688927943761,5,FALSE,TRUE,FALSE,0.583437232191253
0.0886985799018192,0.600423857176249,0.0768369520824127,0.0343625296080338,0.534132171387073,0.727592267135325,5,FALSE,TRUE,FALSE,0.583437232191253
0.0681292069057962,0.604403515661718,0.0772808565291241,0.034561049711706,0.546840958605665,0.735676625659051,5,FALSE,TRUE,FALSE,0.583437232191253
0.0523299114681495,0.60358039198427,0.0813225980809878,0.0363685714831965,0.539578794480755,0.738137082601055,5,FALSE,TRUE,FALSE,0.583437232191253
0.0401945033361513,0.599505907255013,0.0773707076978178,0.0346012323759174,0.530864197530864,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.0308733199257026,0.602203364549513,0.0748460331736413,0.0334721636044933,0.539941902687001,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.0237137370566166,0.601726200268667,0.0751541260145696,0.0336099469116326,0.539941902687001,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.0182144753639595,0.606031371553268,0.0715825511710493,0.0320126900842647,0.551924473493101,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.0139905031413729,0.605826872575763,0.0717069497758383,0.0320683228315876,0.551924473493101,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.0107460782832132,0.605826872575763,0.0717069497758383,0.0320683228315876,0.551924473493101,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00825404185268019,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00633991351172485,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00486967525165863,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00374038810036779,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00287298483335367,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00220673406908459,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00169498815139035,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.00130191710619008,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
0.001,0.605020972869831,0.0728872507809936,0.0325961694878753,0.542120551924474,0.724780316344464,5,FALSE,TRUE,FALSE,0.583437232191253
