gene,coef,HR,lower95,upper95,p,lasso_coef
INHBB,0.240978219656676,1.27249331966502,1.09652791865635,1.47669678176209,0.00150618792895405,0.127465467180031
CCDC134,-0.286665433606402,0.750762866848365,0.637038872964698,0.884788834965823,0.000624985168883107,-0.119644335691575
ATP23,-0.160837482328641,0.851430432354964,0.727153709322644,0.996947099142833,0.0457225636535409,-0.0626643967910672
SCARA3,0.151842417573139,1.16397679969038,1.0284956758481,1.31730450796525,0.0161730081323196,0.0500659370315987
MSLN,0.221626905493247,1.24810562963137,1.08159894532776,1.44024517539213,0.00241596858692739,0.043015493796395
TAPBPL,-0.189408932692842,0.827448066933711,0.706504677006957,0.969095217278501,0.0188066784583189,-0.032232688319376
DCBLD2,0.0182437850285411,1.0184112195378,0.878727358607705,1.18029944318998,0.808484675746537,0.0216029020935055
GLYCTK,-0.111050511111566,0.894893545719681,0.766007820784497,1.04546511986076,0.161633396770224,-0.0197264091120177
