lambda_ratio,mean_c_index,sd_c_index,se_c_index,min_c_index,max_c_index,inner_folds,best_mean,one_se_eligible,selected,one_se_threshold,repeat_id,outer_fold,analysis_key
0.562341325190349,0.587319473806894,0.092376283816971,0.0413119300247122,0.462210796915167,0.694205393000574,5,FALSE,TRUE,TRUE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.431933279405154,0.572255151570681,0.100361213796503,0.0448828992706743,0.461182519280206,0.70223752151463,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.331767112784286,0.579734675894971,0.106634257931327,0.0476882898929386,0.434447300771208,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.254829674797935,0.581776989219266,0.106859433234298,0.0477889913497981,0.434447300771208,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.195734178148766,0.585865406026683,0.101318977840428,0.0453112243723986,0.439074550128535,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.150343041978733,0.597017962060043,0.0918719093562789,0.0410863669086677,0.460154241645244,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.115478198468946,0.596888544877904,0.100159493459704,0.0447926871935687,0.441131105398458,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0886985799018192,0.599436106651951,0.0970366184290517,0.0433960950228137,0.446786632390745,0.698795180722892,5,TRUE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0681292069057962,0.5892395228025,0.107766806885511,0.0481947811828189,0.416452442159383,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0523299114681495,0.593257589029617,0.103694220629591,0.0463734652403253,0.42879177377892,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0401945033361513,0.591050752151873,0.111032479649985,0.0496552344415456,0.410282776349614,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0308733199257026,0.59466913404443,0.107178581961892,0.0479317189997645,0.42107969151671,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0237137370566166,0.592621577519419,0.107101233650761,0.0478971277834381,0.420565552699229,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0182144753639595,0.591155639222772,0.102904688377648,0.0460203756831707,0.431362467866324,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
0.0139905031413729,0.588021414255465,0.105515026854125,0.0471877545387077,0.427249357326478,0.698795180722892,5,FALSE,TRUE,FALSE,0.556040011629137,1,1,4e8f7e1e9353e2e23dba3848b3e828f701524e67d43805f47e8cff7cc13c785a
