cohort,endpoint,mapping_method,n,events,HR_per_SD,lower95,upper95,cox_p,logrank_p,c_index,c_index_method
TCGA-COAD,OS,gene_level_input,279,69,1.3171602358886,1.04896712449347,1.6539232226595,0.0177154675155648,0.000823288822152935,0.628223888787269,Harrell C; timewt=n; higher score=higher hazard
GSE14333,DFS,unique_mean,226,50,1.65747624511179,1.27442421323233,2.15566172910515,0.000164245931066278,0.00325600235705533,0.653190452995616,Harrell C; timewt=n; higher score=higher hazard
GSE17536,OS,unique_mean,177,73,1.23706492605809,0.994469534784202,1.53884013311196,0.0561114453863764,0.188175909705263,0.567782189449801,Harrell C; timewt=n; higher score=higher hazard
GSE17537,OS,unique_mean,55,20,1.36597577144963,0.900086954614534,2.07301061149862,0.142821320753042,0.391052317053526,0.620454545454546,Harrell C; timewt=n; higher score=higher hazard
GSE39582 (training),OS,unique_mean,573,190,2.00107069695915,1.74388861771425,2.29618101382936,4.91964826026355e-23,1.43445719901391e-16,0.694380851851344,Harrell C; timewt=n; higher score=higher hazard
