gene,training_center,training_scale
INHBB,6.44253131069808,0.934855118582968
CCDC134,5.54294410898604,0.335912946766664
ATP23,4.8863873106466,0.338320288036715
SCARA3,4.47204451468237,0.382002712077338
MSLN,5.61516900776789,1.53057009807453
TAPBPL,7.49258788199215,0.618706388895922
DCBLD2,5.31955718300524,0.4881919633106
GLYCTK,6.3533832620349,0.405855831054033
